,CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,parentesco(CH3),genero(CH04),edad(CH06),cob_medica(CH08),NIVEL_ED,CAT_OCUP,CAT_INAC,AE_ctrol_ind,AE_ctrol_ind_sum,adulto_equivalente,pobreza
14420,TQRMNORPYHLOKNCDEGKDB00716355,2022,4,1,1,43,N,14,143,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,2,1,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,4,0,4,145000,6,6.0,6,,6.0,8,36250.0,3,4.0,3,,4.0,5,290,1,2,3,0,0,0,1,1,55,1,2,3,0,1.0,3.8,38157.89,1
14421,TQRMNORQQHLOKNCDEGKDB00716371,2022,4,1,1,43,N,14,134,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,2,1,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,1,6,156000,6,7.0,7,,7.0,8,22285.71,2,2.0,2,,2.0,2,254,2,0,98,0,0,0,1,1,45,4,2,1,0,1.0,6.11,25531.91,1
14424,TQTMNOQQXHLOKPCDEGLDF00716473,2022,4,1,1,41,N,15,129,1,,1,1,,4,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,2,2,2,0,0,0,0,1,,2,,3,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,5,2,3,71700,2,2.0,3,,3.0,3,14340.0,1,1.0,1,,1.0,1,119,1,0,98,0,0,0,1,2,28,4,3,0,4,0.76,3.71,19326.15,1
14425,TQRMNOQYWHLNKQCDEGLDF00716475,2022,4,1,1,41,N,15,122,1,,1,2,,4,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,1,2,2,0,2,0,6,,2,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,56000,2,2.0,2,,2.0,2,28000.0,2,3.0,3,,3.0,3,139,4,0,98,0,0,0,1,2,57,4,3,3,0,0.76,1.76,31818.18,1
14429,TQRMNOQRSHLKRTCDEIJAH00719354,2022,4,1,1,1,S,33,1521,2,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,1,1,1,2,2,2,0,0,0,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,0,2,44000,1,,1,1.0,,1,22000.0,2,,2,2.0,,2,2643,1,2,98,0,0,0,1,1,76,1,5,0,1,0.74,1.37,32116.79,1
14434,TQRMNORXXHJOLOCDEHNHB00796417,2022,4,1,1,42,S,27,368,1,,2,1,,1,1,1,1,,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,0,2,0,1,,2,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,4,0,4,100267,4,4.0,4,4.0,,3,25066.75,2,2.0,2,2.0,,2,368,1,2,97,0,0,0,1,2,49,3,2,2,0,0.76,3.4,29490.29,1
14443,TQRMNOQVUHKOKRCDEGKDB00789316,2022,4,1,1,43,N,14,142,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,2,2,2,0,0,0,0,1,,2,,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,0,5,195000,7,8.0,8,,8.0,9,39000.0,4,4.0,3,,4.0,5,285,1,0,98,0,0,0,1,2,56,3,2,3,0,0.76,4.54,42951.54,1
14445,TQRMNOPRRHLMLQCDEGPDJ00716875,2022,4,1,1,40,N,19,215,3,,1,1,,2,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,1,2,2,0,2,0,3,,2,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,40000,1,1.0,1,,1.0,1,40000.0,4,4.0,6,,5.0,6,215,1,0,98,0,0,0,1,1,41,4,5,3,0,1.0,1.0,40000.0,1
14446,TQRMNOQRQHMOLOCDEGPDJ00713443,2022,4,2,1,40,N,19,148,1,,2,2,,4,2,1,1,,1,1,1,1,2,1,2,2,1,2,0,1,2,2,2,0,2,0,4,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,0,2,30200,1,1.0,1,,1.0,1,15100.0,1,1.0,1,,1.0,1,148,1,0,2,0,0,0,1,2,50,4,4,2,0,0.76,1.78,16966.29,1
14447,TQRMNOQSYHKMKMCDEGKDB00789193,2022,4,1,1,43,N,14,96,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,2,1,2,0,1,1,1,,2,,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,2,4,0,4,137000,5,6.0,6,,6.0,7,34250.0,3,3.0,3,,4.0,5,181,1,0,2,4,0,0,1,2,75,1,4,3,0,0.67,3.21,42679.13,1
14453,TQRMNOQTYHJOKSCDEGIBJ00796420,2022,4,1,1,41,N,12,625,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,2,2,2,0,0,0,0,1,,2,,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,3,101500,4,4.0,5,,4.0,5,25375.0,2,2.0,3,,2.0,3,610,2,0,3,0,0,0,1,1,66,1,1,0,1,0.83,2.82,35992.91,1
14460,TQRMNOSVPHJOMMCDEHPJB00796531,2022,4,1,1,40,S,29,343,2,,3,1,,4,2,1,1,,1,1,2,2,1,2,2,3,2,2,0,1,1,2,2,0,2,0,6,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,5,0,5,123000,5,5.0,6,5.0,,6,24600.0,2,2.0,3,2.0,,3,410,1,0,3,4,5,0,1,1,52,4,1,3,0,1.0,4.05,30370.37,1
14463,TQRMNORRXHKNLUCDEFKID00787571,2022,4,1,1,43,S,4,885,1,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,3,,1,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,108000,4,5.0,5,4.0,,4,36000.0,3,4.0,3,3.0,,3,1321,1,2,3,0,0,0,1,2,47,1,4,3,0,0.76,2.2800000000000002,47368.42,1
14466,TQRMNORTPHKNLSCDEIIAD00791239,2022,4,1,1,1,S,32,1509,2,,1,1,,2,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,2,2,2,0,2,0,3,,4,electricidad,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,40000,1,,1,1.0,,1,40000.0,4,,4,4.0,,2,2024,1,0,98,0,0,0,1,1,70,1,5,0,1,0.83,0.83,48192.77,1
14475,TQRMNORTPHLOKTCDEFOCD00715503,2022,4,1,1,41,N,8,289,1,,2,2,,4,2,1,1,,1,1,2,2,2,2,2,2,2,2,0,1,1,1,2,0,2,0,1,,2,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,100000,4,4.0,5,,4.0,6,33333.33,3,3.0,4,,3.0,5,333,2,0,1,0,0,0,1,1,71,1,2,0,1,0.83,2.52,39682.54,1
14479,TQRMNOURQHLOKSCDEGPDJ00716864,2022,4,1,1,40,N,19,296,1,,3,1,,4,2,1,1,,1,2,1,1,1,2,2,3,3,2,0,1,2,2,2,0,2,0,1,,2,,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,4,161000,6,7.0,7,,7.0,8,26833.33,2,2.0,3,,3.0,4,296,2,0,98,0,0,0,1,1,58,1,3,2,0,1.0,5.01,32135.73,1
14481,TQRMNOPSWHMLOLCDEIJAH00709821,2022,4,1,1,1,S,33,1761,1,,2,1,,1,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,2,1,2,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,64000,2,,2,2.0,,2,32000.0,3,,3,3.0,,3,2341,1,0,98,0,0,0,1,2,79,1,2,0,1,0.63,1.37,46715.33,1
14490,TQRMNORQXHJOPSCDEIJAH00796665,2022,4,1,1,1,S,33,3744,1,,3,1,,2,2,1,1,,1,1,1,1,2,1,2,3,2,2,0,1,2,2,2,0,2,0,3,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,135000,5,,5,5.0,,5,45000.0,5,,4,4.0,,5,8311,1,0,2,3,0,0,1,2,46,4,2,0,4,0.76,2.7800000000000002,48561.15,1
14491,TQRMNORQTHLNOTCDEIJAH00719361,2022,4,1,1,1,S,33,1723,1,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,1,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,39800,1,,1,1.0,,1,19900.0,1,,1,1.0,,2,2415,2,0,98,0,0,0,1,2,69,1,7,0,1,0.67,1.5,26533.33,1
14510,TQRMNOPQVHKMLSCDEGGFB00796777,2022,4,1,1,42,S,10,503,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,2,1,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,70000,2,2.0,2,2.0,,2,35000.0,3,3.0,3,3.0,,3,723,1,0,98,0,0,0,1,2,74,1,2,0,1,0.67,1.67,41916.17,1
14515,TQRMNOQYXHKOKMCDEGGFB00788596,2022,4,1,1,42,S,10,35,1,,4,1,,1,2,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,2,2,0,2,0,1,,2,,1,1,1,2,1,2,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,7,2,5,152800,6,7.0,6,6.0,,7,21828.57,2,2.0,2,2.0,,2,44,2,3,5,6,0,0,1,1,43,1,3,3,0,1.0,5.29,28884.69,1
14521,TQRMNOSQRHKLKUCDEOJAH00796782,2022,4,1,1,44,N,93,65,2,,4,1,,2,1,1,1,,1,1,1,1,2,2,2,4,4,2,0,1,2,2,2,0,2,0,3,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6,0,6,265000,9,9.0,8,,9.0,8,44166.67,4,5.0,3,,5.0,3,101,1,3,98,0,0,0,1,1,52,1,4,0,1,1.0,5.84,45376.71,1
14525,TQRMNOSRYHMOLPCDEFNFF00709631,2022,4,1,1,41,N,7,251,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,6,3,3,175400,7,7.0,8,,7.0,8,29233.33,3,3.0,4,,3.0,3,238,2,0,1,0,0,0,1,2,36,4,3,2,0,0.77,4.12,42572.82,1
14531,TQRMNOPWWHKMKRCDEIOAH00792733,2022,4,1,1,43,N,38,124,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,0,1,18000,1,1.0,1,,1.0,1,18000.0,1,1.0,1,,1.0,1,156,1,0,98,0,0,0,1,2,52,4,5,3,0,0.76,0.76,23684.21,1
14538,TQRMNORXQHLOKRCDEGJBF00716167,2022,4,1,1,43,S,13,726,2,,2,1,,2,1,1,1,,1,1,2,3,2,2,2,2,1,2,0,1,2,2,2,0,2,0,1,,2,,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,5,1,4,153500,6,7.0,6,6.0,,6,30700.0,3,3.0,2,3.0,,2,749,1,4,98,0,0,0,1,2,30,1,2,3,0,0.77,3.54,43361.58,1
