,CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,parentesco(CH3),genero(CH04),edad(CH06),cob_medica(CH08),NIVEL_ED,CAT_OCUP,CAT_INAC,AE_ctrol_ind,AE_ctrol_ind_sum,adulto_equivalente,pobreza
4,TQRMNOSQWHJOKNCDEOJAH00794457,2022,4,1,1,44,N,93,89,1,,3,1,,3,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,50000,1,1.0,1,,1.0,1,16666.67,1,1.0,1,,1.0,1,112,1,0,96,0,0,0,1,2,44,1,6,3,0,0.77,2.56,19531.25,1
6,TQRMNOQVSHKMKPCDEOJAH00793041,2022,4,1,1,44,N,93,99,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,80000,3,3.0,2,,3.0,2,20000.0,1,2.0,1,,2.0,1,117,2,0,98,0,0,0,1,1,45,4,3,2,0,1.0,3.55,22535.21,1
7,TQRMNOQPXHKKKQCDEOJAH00793105,2022,4,1,1,44,N,93,138,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,0,3,120000,5,5.0,3,,5.0,3,40000.0,4,4.0,3,,4.0,3,180,1,0,98,0,0,0,1,2,51,1,6,3,0,0.76,2.55,47058.82,1
11,TQRMNOQTYHLMKRCDEFLID00714984,2022,4,1,1,43,S,5,359,1,,3,1,,1,1,1,1,,1,1,1,2,2,2,2,3,2,2,0,1,1,2,2,0,2,0,1,,2,,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,46000,1,1.0,1,1.0,,1,23000.0,2,2.0,2,2.0,,2,543,2,0,98,0,0,0,1,2,80,1,2,0,1,0.63,1.46,31506.85,1
18,TQRMNORVPHMMTRCDEIJAH00719603,2022,4,1,1,1,S,33,1410,1,,4,1,,3,1,1,2,,1,1,1,1,2,2,2,4,3,2,0,1,1,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,5,1,4,160000,6,,6,6.0,,7,32000.0,3,,3,3.0,,3,2825,2,0,98,0,0,0,1,1,52,1,3,3,0,1.0,4.1,39024.39,1
19,TQRMNOSPRHJMTSCDEIJAH00794463,2022,4,1,1,1,S,33,1744,1,,3,2,,2,1,1,4,TANQUE COMUNITARIO,1,1,2,2,2,2,2,3,2,2,0,2,2,2,0,0,0,0,6,,2,,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,5,0,5,40000,1,,1,1.0,,1,8000.0,1,,1,1.0,,1,1413,1,0,98,0,0,0,1,2,40,4,1,0,0,0.77,3.89,10282.78,1
20,TQRMNOPYWHJOTUCDEIJAH00794464,2022,4,1,1,1,S,33,2398,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,20000,1,,1,1.0,,1,20000.0,1,,1,1.0,,2,3926,1,0,98,0,0,0,1,2,55,1,4,3,0,0.76,0.76,26315.79,1
26,TQRMNOPSPHKOKTCDEGKDB00789251,2022,4,1,1,43,N,14,138,1,,1,2,,4,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,1,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,2,2,6,0,6,49000,1,1.0,1,,1.0,2,8166.67,1,1.0,1,,1.0,1,235,2,0,98,0,0,0,1,1,46,1,3,3,0,1.0,5.18,9459.46,1
28,TQRMNOQTVHLMKTCDEGKDB00716286,2022,4,2,1,43,N,14,84,1,,1,1,,4,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,2,2,2,0,0,0,0,3,,2,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,28000,1,1.0,1,,1.0,1,28000.0,2,3.0,2,,3.0,3,62,1,0,98,0,0,0,1,2,60,3,2,0,1,0.76,0.76,36842.11,1
35,TQRMNOPVXHKMKMCDEGKDB00789228,2022,4,1,1,43,N,14,114,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,2,2,2,0,2,0,1,,2,,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,0,2,49000,1,1.0,1,,1.0,2,24500.0,2,2.0,2,,2.0,3,162,2,0,98,0,0,0,1,2,82,1,2,0,1,0.63,1.46,33561.64,1
36,TQRMNORVUHLOLPCDEHLEH00717316,2022,4,1,1,40,N,25,142,1,,4,1,,2,1,1,1,,1,1,1,1,2,2,2,4,4,2,0,2,1,1,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,6,0,6,236000,8,9.0,9,,9.0,10,39333.33,4,4.0,6,,4.0,6,166,2,0,98,0,0,0,1,1,65,1,3,0,1,0.83,4.89,48261.76,1
38,TQRMNOSXQHKMKSCDEGLDF00789469,2022,4,1,1,41,N,15,208,1,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,100000,4,4.0,5,,4.0,5,33333.33,3,3.0,4,,3.0,4,245,1,0,2,0,0,0,1,2,54,4,6,2,0,0.76,2.2800000000000002,43859.65,1
41,TQTMNOPTSHJMKUCDEGLDF00794468,2022,4,1,1,41,N,15,139,1,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,2,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,0,3,121000,5,5.0,6,,5.0,6,40333.33,4,4.0,6,,5.0,6,176,2,0,98,0,0,0,1,1,46,4,4,2,0,1.0,2.7800000000000002,43525.18,1
44,TQRMNOQTSHMNLNCDEGLDF00794470,2022,4,1,1,41,N,15,203,1,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,0,2,22000,1,1.0,1,,1.0,1,11000.0,1,1.0,1,,1.0,1,250,1,0,98,0,0,0,1,2,51,1,5,2,0,0.76,1.52,14473.68,1
45,TQRMNOQTTHMNLNCDEGLDF00712298,2022,4,1,1,41,N,15,131,1,,2,1,,4,1,1,1,,1,1,1,2,2,2,2,2,2,2,0,1,1,2,2,0,2,0,1,,2,,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,5,0,5,190000,7,8.0,9,,8.0,9,38000.0,4,4.0,5,,4.0,6,166,2,0,3,0,0,0,1,1,72,1,2,0,1,0.83,4.3,44186.05,1
46,TQRMNOTXXHKOLNCDEGLDF00789430,2022,4,1,1,41,N,15,189,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,2,2,2,0,0,0,0,1,,2,,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,0,2,62000,2,2.0,3,,2.0,3,31000.0,3,3.0,4,,3.0,3,197,1,0,98,0,0,0,1,2,82,1,2,0,1,0.63,1.63,38036.81,1
49,TQRMNOPPVHMMKOCDEHLEH00712356,2022,4,1,1,40,N,25,165,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,1,3,95000,3,4.0,4,,4.0,5,23750.0,2,2.0,3,,2.0,2,189,2,0,3,0,0,0,1,1,41,1,4,3,0,1.0,3.2,29687.5,1
50,TQRMNOSPVHMOKRCDEGIBJ00712604,2022,4,1,1,41,N,12,521,1,,1,2,,4,2,2,1,,1,1,1,1,2,2,2,1,1,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,5,3,2,75800,2,3.0,3,,3.0,3,15160.0,1,1.0,1,,1.0,1,481,2,0,1,0,0,0,1,1,25,4,3,3,0,1.02,3.24,23395.06,1
51,TQRMNOPXTHJLLMCDEGIBJ00794528,2022,4,1,1,41,N,12,265,2,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,4,2,2,0,2,1,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,3,0,3,92000,3,4.0,4,,4.0,4,30666.67,3,3.0,4,,3.0,4,305,1,0,98,0,0,0,1,2,59,1,3,0,4,0.76,2.5300000000000002,36363.64,1
52,TQRMNORUYHMOLLCDEGIBJ00713243,2022,4,1,1,41,N,12,282,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,2,2,0,1,1,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,4,1,3,96000,3,4.0,5,,4.0,4,24000.0,2,2.0,3,,2.0,3,319,3,2,1,0,0,0,1,1,27,1,5,3,0,1.02,3.5,27428.57,1
54,TQRMNOSPWHLMKNCDEIOAH00720128,2022,4,1,1,43,N,38,101,1,,3,1,,2,2,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,24500,1,1.0,1,,1.0,1,12250.0,1,1.0,1,,1.0,1,110,2,0,1,0,0,0,1,1,58,4,5,0,4,1.0,1.76,13920.45,1
58,TQRMNOSWYHKOKMCDEGOIH00789641,2022,4,1,1,40,N,18,280,1,,1,1,,3,1,1,1,,1,1,1,2,2,2,2,1,1,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,2,2,63500,2,2.0,2,,2.0,3,15875.0,1,1.0,1,,1.0,1,277,1,0,98,0,0,0,1,2,26,4,3,2,0,0.76,3.04,20888.16,1
68,TQRMNOSWUHLMLNCDEHPJB00717888,2022,4,1,1,40,S,29,379,1,,2,1,,1,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,2,2,0,2,0,1,,2,,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,69000,2,2.0,3,2.0,,3,34500.0,3,3.0,5,3.0,,5,483,2,0,98,0,0,0,1,1,74,1,4,0,1,0.83,1.5,46000.0,1
69,TQRMNOPQYHMOLSCDEHPJB00712437,2022,4,1,1,40,S,29,265,1,,1,1,,2,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,1,2,2,0,2,0,3,,1,,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2,1,0,1,5000,1,1.0,1,1.0,,1,5000.0,1,1.0,1,1.0,,1,266,1,0,98,0,0,0,1,2,33,4,5,0,3,0.77,0.77,6493.51,1
70,TQRMNORYRHKOLLCDEHPJB00790804,2022,4,1,1,40,S,29,379,1,,2,1,,4,2,1,1,,1,1,1,1,1,2,2,2,1,2,0,2,1,2,2,0,2,0,1,,2,,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,78000,2,3.0,3,2.0,,3,39000.0,4,4.0,5,4.0,,5,453,1,0,2,0,0,0,1,2,62,1,1,2,0,0.67,1.67,46706.59,1
71,TQRMNORSXHMOLTCDEHPJB00712277,2022,4,1,1,40,S,29,470,1,,4,1,,2,1,1,1,,1,1,1,1,2,1,2,4,2,2,0,1,1,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,4,1,3,80400,3,3.0,3,3.0,,3,20100.0,2,2.0,2,2.0,,2,615,1,0,2,0,0,0,1,2,70,1,7,0,1,0.67,3.13,25686.9,1
72,TQRMNOSXVHKMLMCDEFMDB00787973,2022,4,1,1,43,N,6,292,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,2,2,2,0,2,0,3,,2,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,83000,3,3.0,3,,3.0,3,20750.0,2,2.0,1,,2.0,1,425,1,2,3,4,0,0,1,2,57,1,6,0,1,0.76,3.56,23314.61,1
73,TQRMNOSWRHKOKPCDEGIBJ00788896,2022,4,1,1,41,N,12,248,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,1,,2,,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,50500,2,2.0,2,,2.0,2,25250.0,2,2.0,3,,2.0,3,249,2,0,98,0,0,0,1,2,93,1,2,0,1,0.63,1.3900000000000001,36330.94,1
74,TQSMNORVYHLMKRCDEGIBJ00715875,2022,4,1,1,41,N,12,316,1,,2,1,,1,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,1,2,2,0,2,0,1,,2,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,0,2,35000,1,1.0,1,,1.0,1,17500.0,1,1.0,2,,1.0,2,323,1,2,98,0,0,0,1,1,66,1,5,2,0,0.83,1.87,18716.58,1
75,TQRMNOPPYHMMKOCDEHLEH00790315,2022,4,1,1,40,N,25,161,1,,5,1,,1,1,1,1,,1,1,1,1,2,2,2,5,3,2,0,1,1,2,2,0,2,0,4,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,5,2,3,63500,2,2.0,2,,2.0,3,12700.0,1,1.0,1,,1.0,1,170,2,0,3,1,0,0,1,1,47,4,2,2,0,1.0,3.54,17937.85,1
87,TQRMNOPXYHKLKMCDEGKDB00789348,2022,4,1,1,43,N,14,128,2,,5,1,,4,1,1,1,,1,1,1,1,2,2,2,5,3,1,1,1,1,1,2,0,2,0,6,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,90000,3,3.0,3,,4.0,4,30000.0,3,3.0,2,,3.0,4,325,1,0,98,0,0,0,1,2,56,1,6,3,0,0.76,2.35,38297.87,1
99,TQRMNOQUWHJKLNCDEIJAH00794478,2022,4,1,1,1,S,33,1156,2,,2,1,,9,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,1,1,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,50000,1,,1,1.0,,1,25000.0,2,,2,2.0,,2,2415,2,0,98,0,0,0,1,1,35,1,5,3,0,1.0,1.77,28248.59,1
103,TQRMNOPWXHMOLSCDEFLID00713172,2022,4,1,1,43,S,5,593,1,,3,2,,4,2,1,1,,1,1,1,2,2,2,2,3,1,2,0,2,2,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,5,1,4,80000,3,3.0,3,3.0,,3,16000.0,1,1.0,1,1.0,,1,1030,1,0,98,0,0,0,1,2,31,1,4,2,0,0.77,4.13,19370.46,1
105,TQRMNOUYSHJNKMCDEIOAH00794481,2022,4,1,1,43,N,38,222,1,,3,1,,2,2,1,1,,1,1,1,2,2,2,2,3,1,2,0,1,2,2,2,0,2,0,2,,2,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,43000,1,1.0,1,,1.0,1,21500.0,2,2.0,2,,2.0,2,227,1,0,98,0,0,0,1,1,59,1,1,0,4,1.0,1.83,23497.27,1
107,TQRMNOQUWHMNKPCDEIOAH00713362,2022,4,1,1,43,N,38,114,1,,2,1,,1,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,4,1,3,115000,4,5.0,5,,5.0,5,28750.0,2,3.0,2,,3.0,3,115,2,0,98,0,0,0,1,1,26,1,4,3,0,1.02,2.99,38461.54,1
109,TQRMNOSQYHKMKSCDEIOAH00792803,2022,4,1,1,43,N,38,55,1,,2,1,,5,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,0,3,8000,1,1.0,1,,1.0,1,2666.67,1,1.0,1,,1.0,1,61,1,0,98,0,0,0,1,2,43,4,2,3,0,0.77,2.58,3100.78,1
110,TQRMNOQPPHLOKMCDEGOIH00716787,2022,4,1,1,40,N,18,238,1,,3,1,,1,1,1,1,,1,1,1,2,2,2,2,3,3,2,0,1,1,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,158000,6,7.0,7,,7.0,8,39500.0,4,4.0,6,,4.0,6,237,1,0,98,0,0,0,1,2,48,4,3,2,0,0.76,3.7800000000000002,41798.94,1
111,TQRMNOSWUHLOKMCDEGOIH00716788,2022,4,1,1,40,N,18,225,1,,4,1,,1,1,1,1,,1,1,1,2,2,2,2,4,3,2,0,1,2,2,2,0,2,0,1,,2,,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,0,6,77500,2,3.0,3,,3.0,4,12916.67,1,1.0,1,,1.0,1,219,1,0,98,0,0,0,1,2,57,3,2,0,1,0.76,5.59,13864.04,1
113,TQRMNOPVQHMOKNCDEGOIH00712467,2022,4,1,1,40,N,18,180,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,1,1,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,121200,5,5.0,6,,5.0,6,40400.0,4,4.0,6,,5.0,6,181,1,0,97,0,0,0,1,2,67,1,2,0,1,0.67,2.52,48095.24,1
116,TQRMNORVVHKOKNCDEHGHJ00789950,2022,4,1,1,44,N,20,279,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,0,2,54000,2,2.0,1,,2.0,1,27000.0,2,2.0,2,,3.0,2,363,2,0,1,0,0,0,1,1,29,9,4,2,0,1.02,1.78,30337.08,1
118,TQRMNOQWQHMMLOCDEGOIH00712988,2022,4,1,1,40,N,18,177,1,,4,1,,1,1,1,1,,1,1,1,2,2,2,2,4,3,2,0,1,1,1,2,0,2,0,1,,2,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,5,1,4,110000,4,5.0,5,,5.0,6,22000.0,2,2.0,2,,2.0,3,170,1,0,98,0,0,0,1,2,43,1,3,0,1,0.77,4.3,25581.4,1
129,TQRMNOPUUHLMLOCDEHMHF00717558,2022,4,1,1,42,N,26,172,2,,4,1,,1,1,1,1,,1,1,1,1,2,2,2,4,1,2,0,1,1,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,86128,3,3.0,3,,3.0,3,21532.0,2,2.0,2,,2.0,2,191,3,1,2,0,0,0,1,1,20,4,4,3,0,1.02,3.18,27084.28,1
133,TQRMNOQYSHLOKPCDEFMDB00715145,2022,4,1,1,43,N,6,298,1,,1,2,,4,1,1,1,,1,1,2,3,2,2,2,1,1,2,0,1,2,2,2,0,2,0,6,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,1,35000,1,1.0,1,,1.0,1,11666.67,1,1.0,1,,1.0,1,499,1,0,98,0,0,0,1,2,31,1,3,3,0,0.77,2.1,16666.67,1
137,TQRMNORYQHMOKRCDEFMDB00713461,2022,4,1,1,43,N,6,280,1,,4,1,,2,1,1,1,,1,1,1,1,2,2,2,4,3,1,1,1,2,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,120000,5,5.0,5,,5.0,6,30000.0,3,3.0,2,,3.0,2,359,1,0,2,3,4,0,1,2,52,1,6,3,0,0.76,3.54,33898.31,1
143,TQRMNOWUWHJOLOCDEHLEH00794488,2022,4,1,1,40,N,25,302,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,1,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,9,3,6,200500,8,8.0,9,,8.0,9,22277.78,2,2.0,3,,2.0,2,349,1,3,4,0,0,0,1,2,42,1,4,3,0,0.77,6.5,30846.15,1
145,TQRMNOPRVHKOLNCDEGGFB00788721,2022,4,1,1,42,S,10,493,1,,3,1,,1,2,1,1,,1,1,1,1,2,2,2,3,2,2,0,2,2,2,0,0,0,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,4,2,2,46000,1,1.0,1,1.0,,1,11500.0,1,1.0,1,1.0,,1,499,2,0,98,0,0,0,1,1,30,1,3,3,0,1.0,2.71,16974.17,1
155,TQRMNORVYHMLMMCDEGGFB00714319,2022,4,1,1,42,S,10,579,1,,3,1,,1,1,1,1,,1,1,1,2,2,2,2,3,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,8,3,5,150000,6,6.0,6,6.0,,6,18750.0,1,1.0,1,1.0,,2,673,2,0,3,4,5,0,1,1,39,1,6,3,0,1.0,6.05,24793.39,1
156,TQRMNOSSWHKNLUCDEGGFB00788514,2022,4,1,1,42,S,10,473,1,,2,1,,1,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,72500,2,2.0,2,2.0,,2,18125.0,1,1.0,1,1.0,,2,562,1,0,2,3,4,0,1,2,49,4,2,3,0,0.76,3.2,22656.25,1
160,TQRMNORYPHLOLMCDEGIBJ00794490,2022,4,1,1,41,N,12,428,1,,4,1,,4,2,1,1,,1,1,1,1,2,2,2,4,2,2,0,2,2,2,0,0,0,0,1,,2,,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,4,53500,2,2.0,2,,2.0,2,10700.0,1,1.0,1,,1.0,1,411,1,0,4,0,0,0,1,2,54,1,1,0,1,0.76,3.88,13788.66,1
166,TQRMNORWUHLMLOCDEGIBJ00715973,2022,4,1,1,41,N,12,317,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,2,2,2,0,2,0,1,,2,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,6,1,5,231000,8,9.0,9,,9.0,10,38500.0,4,4.0,5,,4.0,6,371,1,2,2,0,0,0,1,2,66,1,4,0,1,0.67,5.05,45742.57,1
168,TQRMNOUPQHKOLMCDEGIBJ00788816,2022,4,1,1,41,N,12,295,1,,2,1,,4,1,1,1,,1,1,1,1,2,1,2,2,2,2,0,1,2,2,2,0,2,0,1,,2,,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,6,0,6,178000,7,7.0,8,,8.0,8,29666.67,3,3.0,4,,3.0,4,342,2,0,1,6,0,0,1,1,58,1,2,3,0,1.0,5.54,32129.96,1
169,TQRMNOQVQHMMLMCDEGIBJ00714376,2022,4,1,1,41,N,12,582,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,1,2,0,2,0,1,,2,,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,3,1,2,28200,1,1.0,1,,1.0,1,9400.0,1,1.0,1,,1.0,1,568,2,0,98,0,0,0,1,2,28,3,5,0,3,0.76,2.0300000000000002,13891.63,1
170,TQRMNOSUTHLOLQCDEGIBJ00777262,2022,4,1,1,41,N,12,360,1,,3,2,,4,1,1,1,,1,1,1,1,1,2,2,3,3,2,0,1,1,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,4,95100,3,4.0,5,,4.0,4,19020.0,1,1.0,2,,2.0,2,382,1,2,3,4,0,0,1,2,32,3,4,3,0,0.77,4.11,23138.69,1
171,TQRMNORSWHLOLOCDEFNFF00715281,2022,4,1,1,41,N,7,310,1,,5,1,,4,1,1,1,,1,1,1,2,2,2,2,5,3,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,5,0,5,197775,7,8.0,9,,8.0,8,39555.0,4,4.0,5,,4.0,5,506,2,0,4,0,0,0,1,1,49,1,2,3,0,1.0,4.35,45465.52,1
172,TQRMNOTYWHKOLMCDEFNFF00788205,2022,4,1,1,41,N,7,413,2,,2,1,,9,1,1,1,,1,1,1,2,2,2,2,2,1,2,0,1,2,2,2,0,2,0,3,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,0,2,76425,2,3.0,3,,3.0,3,38212.5,4,4.0,5,,4.0,4,379,1,0,98,0,0,0,1,2,51,4,2,2,0,0.76,1.6099999999999999,47468.94,1
173,TQRMNOPVYHKMLNCDEFNFF00788207,2022,4,1,1,41,N,7,237,1,,3,1,,4,1,1,1,,1,1,1,2,2,2,2,3,2,2,0,1,2,2,2,0,2,0,3,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,3,169325,7,7.0,8,,7.0,7,33865.0,3,3.0,5,,4.0,4,221,2,0,98,0,0,0,1,1,32,1,2,3,0,1.0,3.6,47034.72,1
